552784600502915072 [0, 'non-rumours', 'charliehebdo']
552784898743099392 [0, 'non-rumours', 'charliehebdo']
552785391653494784 [0, 'non-rumours', 'charliehebdo']
552786116404072448 [0, 'non-rumours', 'charliehebdo']
552786299875520512 [0, 'non-rumours', 'charliehebdo']
552786340958715904 [0, 'non-rumours', 'charliehebdo']
552787144373460992 [0, 'non-rumours', 'charliehebdo']
552787144415404032 [0, 'non-rumours', 'charliehebdo']
552787321561812992 [0, 'non-rumours', 'charliehebdo']
552787361437057024 [0, 'non-rumours', 'charliehebdo']
552787599031828480 [0, 'non-rumours', 'charliehebdo']
552787914271510529 [0, 'non-rumours', 'charliehebdo']
552788007603142656 [0, 'non-rumours', 'charliehebdo']
552788555584765952 [0, 'non-rumours', 'charliehebdo']
552788720236376064 [0, 'non-rumours', 'charliehebdo']
552789196906459136 [0, 'non-rumours', 'charliehebdo']
552789252690706432 [0, 'non-rumours', 'charliehebdo']
552789443644751872 [0, 'non-rumours', 'charliehebdo']
552789550238801920 [0, 'non-rumours', 'charliehebdo']
552789583260577792 [0, 'non-rumours', 'charliehebdo']
552789886202175490 [0, 'non-rumours', 'charliehebdo']
552790565642067968 [0, 'non-rumours', 'charliehebdo']
552790598823186432 [0, 'non-rumours', 'charliehebdo']
552790695036321793 [0, 'non-rumours', 'charliehebdo']
552791159232540673 [0, 'non-rumours', 'charliehebdo']
552791203432103937 [0, 'non-rumours', 'charliehebdo']
552791332935434242 [0, 'non-rumours', 'charliehebdo']
552791414388424704 [0, 'non-rumours', 'charliehebdo']
552791678881660928 [0, 'non-rumours', 'charliehebdo']
552791719272775680 [0, 'non-rumours', 'charliehebdo']
552791831390732289 [0, 'non-rumours', 'charliehebdo']
552792131447037952 [0, 'non-rumours', 'charliehebdo']
552792253601947648 [0, 'non-rumours', 'charliehebdo']
552792518870708224 [0, 'non-rumours', 'charliehebdo']
552793409438904321 [0, 'non-rumours', 'charliehebdo']
552793759210307584 [0, 'non-rumours', 'charliehebdo']
552794286849536001 [0, 'non-rumours', 'charliehebdo']
552794514424102913 [0, 'non-rumours', 'charliehebdo']
552794995942772736 [0, 'non-rumours', 'charliehebdo']
552795056080691200 [0, 'non-rumours', 'charliehebdo']
552795778922864640 [0, 'non-rumours', 'charliehebdo']
552795953301045248 [0, 'non-rumours', 'charliehebdo']
552796269069209600 [0, 'non-rumours', 'charliehebdo']
552796506642591744 [0, 'non-rumours', 'charliehebdo']
552796522904297472 [0, 'non-rumours', 'charliehebdo']
552796619104866304 [0, 'non-rumours', 'charliehebdo']
552796625467621376 [0, 'non-rumours', 'charliehebdo']
552796895513681920 [0, 'non-rumours', 'charliehebdo']
552797058990870528 [0, 'non-rumours', 'charliehebdo']
552797114863198208 [0, 'non-rumours', 'charliehebdo']
552797148975464448 [0, 'non-rumours', 'charliehebdo']
552797154692300800 [0, 'non-rumours', 'charliehebdo']
552797170295144449 [0, 'non-rumours', 'charliehebdo']
552797729504886784 [0, 'non-rumours', 'charliehebdo']
552797828977029120 [0, 'non-rumours', 'charliehebdo']
552798010196107264 [0, 'non-rumours', 'charliehebdo']
552798016646942721 [0, 'non-rumours', 'charliehebdo']
552798200990806016 [0, 'non-rumours', 'charliehebdo']
552798310889566209 [0, 'non-rumours', 'charliehebdo']
552798640679702528 [0, 'non-rumours', 'charliehebdo']
552798832359374849 [0, 'non-rumours', 'charliehebdo']
552799100715167744 [0, 'non-rumours', 'charliehebdo']
552799606833430528 [0, 'non-rumours', 'charliehebdo']
552799669521481728 [0, 'non-rumours', 'charliehebdo']
552800070199148544 [0, 'non-rumours', 'charliehebdo']
552800222553079809 [0, 'non-rumours', 'charliehebdo']
552800223496790018 [0, 'non-rumours', 'charliehebdo']
552800290861510656 [0, 'non-rumours', 'charliehebdo']
552800929519792128 [0, 'non-rumours', 'charliehebdo']
552801028262096896 [0, 'non-rumours', 'charliehebdo']
552801115516186625 [0, 'non-rumours', 'charliehebdo']
552801667855695873 [0, 'non-rumours', 'charliehebdo']
552801724898226176 [0, 'non-rumours', 'charliehebdo']
552801894092275712 [0, 'non-rumours', 'charliehebdo']
552801979861598208 [0, 'non-rumours', 'charliehebdo']
552802011733716992 [0, 'non-rumours', 'charliehebdo']
552802098602319873 [0, 'non-rumours', 'charliehebdo']
552802099331735552 [0, 'non-rumours', 'charliehebdo']
552802117908697088 [0, 'non-rumours', 'charliehebdo']
552802515969138688 [0, 'non-rumours', 'charliehebdo']
552802531672588288 [0, 'non-rumours', 'charliehebdo']
552802714816905216 [0, 'non-rumours', 'charliehebdo']
552803413583360001 [0, 'non-rumours', 'charliehebdo']
552803431702749184 [0, 'non-rumours', 'charliehebdo']
552803757864787968 [0, 'non-rumours', 'charliehebdo']
552803792618799106 [0, 'non-rumours', 'charliehebdo']
552804175310901248 [0, 'non-rumours', 'charliehebdo']
552804198161854464 [0, 'non-rumours', 'charliehebdo']
552804301316579330 [0, 'non-rumours', 'charliehebdo']
552804328319504384 [0, 'non-rumours', 'charliehebdo']
552804454773567488 [0, 'non-rumours', 'charliehebdo']
552804491821854720 [0, 'non-rumours', 'charliehebdo']
552804592988479488 [0, 'non-rumours', 'charliehebdo']
552804769241526272 [0, 'non-rumours', 'charliehebdo']
552804784819154944 [0, 'non-rumours', 'charliehebdo']
552804810463117312 [0, 'non-rumours', 'charliehebdo']
552804962158514176 [0, 'non-rumours', 'charliehebdo']
552805050620604418 [0, 'non-rumours', 'charliehebdo']
552805069956329472 [0, 'non-rumours', 'charliehebdo']
552805169206157312 [0, 'non-rumours', 'charliehebdo']
552805175874686977 [0, 'non-rumours', 'charliehebdo']
552805209424941058 [0, 'non-rumours', 'charliehebdo']
552805450350362625 [0, 'non-rumours', 'charliehebdo']
552805638024077312 [0, 'non-rumours', 'charliehebdo']
552805799106732032 [0, 'non-rumours', 'charliehebdo']
552805830677258240 [0, 'non-rumours', 'charliehebdo']
552805853762699264 [0, 'non-rumours', 'charliehebdo']
552805956619628544 [0, 'non-rumours', 'charliehebdo']
552805970536333314 [0, 'non-rumours', 'charliehebdo']
552806056154644480 [0, 'non-rumours', 'charliehebdo']
552806077755326464 [0, 'non-rumours', 'charliehebdo']
552806462125506560 [0, 'non-rumours', 'charliehebdo']
552806610490646528 [0, 'non-rumours', 'charliehebdo']
552806624046641153 [0, 'non-rumours', 'charliehebdo']
552806890498191361 [0, 'non-rumours', 'charliehebdo']
552806932176977920 [0, 'non-rumours', 'charliehebdo']
552807013764575232 [0, 'non-rumours', 'charliehebdo']
552807054268956673 [0, 'non-rumours', 'charliehebdo']
552807071054184448 [0, 'non-rumours', 'charliehebdo']
552807101442322432 [0, 'non-rumours', 'charliehebdo']
552807191775043585 [0, 'non-rumours', 'charliehebdo']
